Hospital_Name_English,Hospital_Name_Arabic,Governorate_English,Governorate_Arabic,City_District,Full_Address,Type,Specialty
El Mahalla El Kobra General Hospital,مستشفى المحلة الكبرى العام,Gharbia,الغربية,El Mahalla El Kobra,El Mahalla El Kobra City Center,Public,General
El Mahalla Chest Hospital,مستشفى الصدر بالمحلة,Gharbia,الغربية,El Mahalla El Kobra,El Mahalla City,Public,Chest
El Mahalla Emergency Hospital,مستشفى الطوارئ بالمحلة,Gharbia,الغربية,El Mahalla El Kobra,El Mahalla City,Public,Emergency
Kafr El Zayat Hospital,مستشفى كفر الزيات,Gharbia,الغربية,Kafr El Zayat,Kafr El Zayat City,Public,General
Zeita Hospital,مستشفى زفتى,Gharbia,الغربية,Zeita,Zeita City,Public,General
El Santa Hospital,مستشفى السنطة,Gharbia,الغربية,El Santa,El Santa City,Public,General
Basyoun Hospital,مستشفى بسيون,Gharbia,الغربية,Basyoun,Basyoun City,Public,General
Samannoud Hospital,مستشفى سمنود,Gharbia,الغربية,Samannoud,Samannoud City,Public,General
Qotor Hospital,مستشفى قطور,Gharbia,الغربية,Qotor,Qotor City,Public,General
El Mahsama Hospital,مستشفى المحصمة,Gharbia,الغربية,El Mahalla,El Mahalla City,Public,General
Tanta University Pediatric Hospital,مستشفى الأطفال بجامعة طنطا,Gharbia,الغربية,Tanta,Tanta University Campus,University,Pediatrics
Tanta Oncology Center,مركز الأورام بطنطا,Gharbia,الغربية,Tanta,Tanta City,Public,Oncology
Shubra El Khima General Hospital,مستشفى شبرا الخيمة العام,Qalyubia,القليوبية,Shubra El Khima,Shubra El Khima City Center,Public,General
Banha University Hospital,مستشفى جامعة بنها,Qalyubia,القليوبية,Benha,Benha University Campus,University,General
Banha General Hospital,مستشفى بنها العام,Qalyubia,القليوبية,Benha,Benha City Center,Public,General
Banha Chest Hospital,مستشفى الصدر ببنها,Qalyubia,القليوبية,Benha,Benha City,Public,Chest
Banha Fever Hospital,مستشفى الحميات ببنها,Qalyubia,القليوبية,Benha,Benha City,Public,Fever/Infectious
Banha Eye Hospital,مستشفى العيون ببنها,Qalyubia,القليوبية,Benha,Benha City,Public,Ophthalmology
Qalyub Hospital,مستشفى قليوب,Qalyubia,القليوبية,Qalyub,Qalyub City,Public,General
El Qanater El Khayreya Hospital,مستشفى القناطر الخيرية,Qalyubia,القليوبية,El Qanater El Khayreya,El Qanater El Khayreya City,Public,General
El Khanka Hospital,مستشفى الخانكة,Qalyubia,القليوبية,El Khanka,El Khanka City,Public,General
Kafr Shokr Hospital,مستشفى كفر شكر,Qalyubia,القليوبية,Kafr Shokr,Kafr Shokr City,Public,General
Toukh Hospital,مستشفى طوخ,Qalyubia,القليوبية,Toukh,Toukh City,Public,General
Qaha Hospital,مستشفى قها,Qalyubia,القليوبية,Qaha,Qaha City,Public,General
El Obour Hospital,مستشفى العبور,Qalyubia,القليوبية,El Obour City,El Obour City,Public,General
Shebin El Kom University Hospital,مستشفى جامعة شبين الكوم,Monufia,المنوفية,Shebin El Kom,Shebin El Kom University Campus,University,General
Shebin El Kom General Hospital,مستشفى شبين الكوم العام,Monufia,المنوفية,Shebin El Kom,Shebin El Kom City Center,Public,General
Shebin El Kom Fever Hospital,مستشفى الحميات بشبين الكوم,Monufia,المنوفية,Shebin El Kom,Shebin El Kom City,Public,Fever/Infectious
Menouf General Hospital,مستشفى منوف العام,Monufia,المنوفية,Menouf,Menouf City,Public,General
Ashmoun Hospital,مستشفى أشمون,Monufia,المنوفية,Ashmoun,Ashmoun City,Public,General
El Bagour Hospital,مستشفى الباجور,Monufia,المنوفية,El Bagour,El Bagour City,Public,General
El Shohada Hospital,مستشفى الشهداء,Monufia,المنوفية,El Shohada,El Shohada City,Public,General
Tala Hospital,مستشفى تلا,Monufia,المنوفية,Tala,Tala City,Public,General
Quwesna Hospital,مستشفى قويسنا,Monufia,المنوفية,Quwesna,Quwesna City,Public,General
Sars El Lyan Hospital,مستشفى سرس الليان,Monufia,المنوفية,Sars El Lyan,Sars El Lyan City,Public,General
Berket El Sabe Hospital,مستشفى بركة السبع,Monufia,المنوفية,Berket El Sabe,Berket El Sabe City,Public,General
El Sadat City Hospital,مستشفى مدينة السادات,Monufia,المنوفية,El Sadat City,El Sadat City,Public,General
Kafr El Sheikh General Hospital,مستشفى كفر الشيخ العام,Kafr El Sheikh,كفر الشيخ,Kafr El Sheikh,Kafr El Sheikh City Center,Public,General
Kafr El Sheikh University Hospital,مستشفى جامعة كفر الشيخ,Kafr El Sheikh,كفر الشيخ,Kafr El Sheikh,Kafr El Sheikh University Campus,University,General
Kafr El Sheikh Chest Hospital,مستشفى الصدر بكفر الشيخ,Kafr El Sheikh,كفر الشيخ,Kafr El Sheikh,Kafr El Sheikh City,Public,Chest
Kafr El Sheikh Fever Hospital,مستشفى الحميات بكفر الشيخ,Kafr El Sheikh,كفر الشيخ,Kafr El Sheikh,Kafr El Sheikh City,Public,Fever/Infectious
Desouk General Hospital,مستشفى دسوق العام,Kafr El Sheikh,كفر الشيخ,Desouk,Desouk City Center,Public,General
Desouk Fever Hospital,مستشفى الحميات بدسوق,Kafr El Sheikh,كفر الشيخ,Desouk,Desouk City,Public,Fever/Infectious
El Burullus Hospital,مستشفى البرلس,Kafr El Sheikh,كفر الشيخ,El Burullus,El Burullus City,Public,General
Bella Hospital,مستشفى بيلا,Kafr El Sheikh,كفر الشيخ,Bella,Bella City,Public,General
El Hamool Hospital,مستشفى الحامول,Kafr El Sheikh,كفر الشيخ,El Hamool,El Hamool City,Public,General
Metoubas Hospital,مستشفى مطوبس,Kafr El Sheikh,كفر الشيخ,Metoubas,Metoubas City,Public,General
El Reiad Hospital,مستشفى الرياض,Kafr El Sheikh,كفر الشيخ,El Reiad,El Reiad City,Public,General
Sidi Salem Hospital,مستشفى سيدي سالم,Kafr El Sheikh,كفر الشيخ,Sidi Salem,Sidi Salem City,Public,General
Qaleen Hospital,مستشفى قلين,Kafr El Sheikh,كفر الشيخ,Qaleen,Qaleen City,Public,General
Fuwah Hospital,مستشفى فوه,Kafr El Sheikh,كفر الشيخ,Fuwah,Fuwah City,Public,General
Minya University Hospital,مستشفى جامعة المنيا,Minya,المنيا,Minya,Minya University Campus,University,General
Minya General Hospital,مستشفى المنيا العام,Minya,المنيا,Minya,Minya City Center,Public,General
Minya Chest Hospital,مستشفى الصدر بالمنيا,Minya,المنيا,Minya,Minya City,Public,Chest
Minya Fever Hospital,مستشفى الحميات بالمنيا,Minya,المنيا,Minya,Minya City,Public,Fever/Infectious
Minya Eye Hospital,مستشفى العيون بالمنيا,Minya,المنيا,Minya,Minya City,Public,Ophthalmology
Minya Mental Health Hospital,مستشفى الصحة النفسية بالمنيا,Minya,المنيا,Minya,Minya City,Public,Psychiatry
Malawi Hospital,مستشفى ملوي,Minya,المنيا,Malawi,Malawi City,Public,General
Abu Qurqas Hospital,مستشفى أبو قرقاص,Minya,المنيا,Abu Qirqas,Abu Qirqas City,Public,General
Samalout Hospital,مستشفى سمالوط,Minya,المنيا,Samalout,Samalout City,Public,General
Matay Hospital,مستشفى مطاي,Minya,المنيا,Matay,Matay City,Public,General
Deir Mawas Hospital,مستشفى دير مواس,Minya,المنيا,Deir Mawas,Deir Mawas City,Public,General
Maghagha Hospital,مستشفى مغاغة,Minya,المنيا,Maghagha,Maghagha City,Public,General
Beni Mazar Hospital,مستشفى بني مزار,Minya,المنيا,Beni Mazar,Beni Mazar City,Public,General
El Idwa Hospital,مستشفى العدوة,Minya,المنيا,El Idwa,El Idwa City,Public,General
Assiut University Hospital,مستشفى جامعة أسيوط,Assiut,أسيوط,Assiut,Assiut University Campus,University,General
Assiut General Hospital,مستشفى أسيوط العام,Assiut,أسيوط,Assiut,Assiut City Center,Public,General
Assiut Chest Hospital,مستشفى الصدر بأسيوط,Assiut,أسيوط,Assiut,Assiut City,Public,Chest
Assiut Fever Hospital,مستشفى الحميات بأسيوط,Assiut,أسيوط,Assiut,Assiut City,Public,Fever/Infectious
Assiut Eye Hospital,مستشفى العيون بأسيوط,Assiut,أسيوط,Assiut,Assiut City,Public,Ophthalmology
Assiut Mental Health Hospital,مستشفى الصحة النفسية بأسيوط,Assiut,أسيوط,Assiut,Assiut City,Public,Psychiatry
Assiut University Pediatric Hospital,مستشفى الأطفال بجامعة أسيوط,Assiut,أسيوط,Assiut,Assiut University Campus,University,Pediatrics
Assiut University Cardiac Hospital,مستشفى القلب بجامعة أسيوط,Assiut,أسيوط,Assiut,Assiut University Campus,University,Cardiology
Assiut Oncology Institute,معهد الأورام بأسيوط,Assiut,أسيوط,Assiut,Assiut University Campus,University,Oncology
Abu Tig Hospital,مستشفى أبو تيج,Assiut,أسيوط,Abu Tig,Abu Tig City,Public,General
El Badari Hospital,مستشفى البدارى,Assiut,أسيوط,El Badari,El Badari City,Public,General
Sahel Selim Hospital,مستشفى ساحل سليم,Assiut,أسيوط,Sahel Selim,Sahel Selim City,Public,General
El Qusiya Hospital,مستشفى القوصية,Assiut,أسيوط,El Qusiya,El Qusiya City,Public,General
Manfalout Hospital,مستشفى منفلوط,Assiut,أسيوط,Manfalout,Manfalout City,Public,General
Dayrout Hospital,مستشفى ديروط,Assiut,أسيوط,Dayrout,Dayrout City,Public,General
Sohag University Hospital,مستشفى جامعة سوهاج,Sohag,سوهاج,Sohag,Sohag University Campus,University,General
Sohag General Hospital,مستشفى سوهاج العام,Sohag,سوهاج,Sohag,Sohag City Center,Public,General
Sohag Chest Hospital,مستشفى الصدر بسوهاج,Sohag,سوهاج,Sohag,Sohag City,Public,Chest
Sohag Fever Hospital,مستشفى الحميات بسوهاج,Sohag,سوهاج,Sohag,Sohag City,Public,Fever/Infectious
Sohag Eye Hospital,مستشفى العيون بسوهاج,Sohag,سوهاج,Sohag,Sohag City,Public,Ophthalmology
Sohag Mental Health Hospital,مستشفى الصحة النفسية بسوهاج,Sohag,سوهاج,Sohag,Sohag City,Public,Psychiatry
Akhmim Hospital,مستشفى أخميم,Sohag,سوهاج,Akhmim,Akhmim City,Public,General
Tahta Hospital,مستشفى طهطا,Sohag,سوهاج,Tahta,Tahta City,Public,General
El Maragha Hospital,مستشفى المراغة,Sohag,سوهاج,El Maragha,El Maragha City,Public,General
El Balyana Hospital,مستشفى البلينا,Sohag,سوهاج,El Balyana,El Balyana City,Public,General
Dar El Salam Hospital,مستشفى دار السلام,Sohag,سوهاج,Dar El Salam,Dar El Salam City,Public,General
Gerga Hospital,مستشفى جرجا,Sohag,سوهاج,Gerga,Gerga City,Public,General
Sakulta Hospital,مستشفى ساقلتة,Sohag,سوهاج,Sakulta,Sakulta City,Public,General
El Minshah Hospital,مستشفى المنشأة,Sohag,سوهاج,El Minshah,El Minshah City,Public,General
Tema Hospital,مستشفى طما,Sohag,سوهاج,Tema,Tema City,Public,General
Beni Suef University Hospital,مستشفى جامعة بني سويف,Beni Suef,بني سويف,Beni Suef,Beni Suef University Campus,University,General
Beni Suef General Hospital,مستشفى بني سويف العام,Beni Suef,بني سويف,Beni Suef,Beni Suef City Center,Public,General
Beni Suef Chest Hospital,مستشفى الصدر ببني سويف,Beni Suef,بني سويف,Beni Suef,Beni Suef City,Public,Chest
Beni Suef Fever Hospital,مستشفى الحميات ببني سويف,Beni Suef,بني سويف,Beni Suef,Beni Suef City,Public,Fever/Infectious
Beni Suef Eye Hospital,مستشفى العيون ببني سويف,Beni Suef,بني سويف,Beni Suef,Beni Suef City,Public,Ophthalmology
El Fashn Hospital,مستشفى الفشن,Beni Suef,بني سويف,El Fashn,El Fashn City,Public,General
Beba Hospital,مستشفى ببا,Beni Suef,بني سويف,Beba,Beba City,Public,General
Naser Hospital Beni Suef,مستشفى ناصر ببني سويف,Beni Suef,بني سويف,Beni Suef,Beni Suef City,Public,General
El Wasta Hospital,مستشفى الواسطى,Beni Suef,بني سويف,El Wasta,El Wasta City,Public,General
Somosta Hospital,مستشفى سمسطا,Beni Suef,بني سويف,Somosta,Somosta City,Public,General
Ehnesia Hospital,مستشفى إهناسيا,Beni Suef,بني سويف,Ehnesia,Ehnesia City,Public,General
Fayoum University Hospital,مستشفى جامعة الفيوم,Fayoum,الفيوم,Fayoum,Fayoum University Campus,University,General
Fayoum General Hospital,مستشفى الفيوم العام,Fayoum,الفيوم,Fayoum,Fayoum City Center,Public,General
Fayoum Chest Hospital,مستشفى الصدر بالفيوم,Fayoum,الفيوم,Fayoum,Fayoum City,Public,Chest
Fayoum Fever Hospital,مستشفى الحميات بالفيوم,Fayoum,الفيوم,Fayoum,Fayoum City,Public,Fever/Infectious
Fayoum Eye Hospital,مستشفى العيون بالفيوم,Fayoum,الفيوم,Fayoum,Fayoum City,Public,Ophthalmology
Fayoum Mental Health Hospital,مستشفى الصحة النفسية بالفيوم,Fayoum,الفيوم,Fayoum,Fayoum City,Public,Psychiatry
Senuris Hospital,مستشفى سنورس,Fayoum,الفيوم,Senuris,Senuris City,Public,General
Tamia Hospital,مستشفى طامية,Fayoum,الفيوم,Tamia,Tamia City,Public,General
Abshaway Hospital,مستشفى أبشواي,Fayoum,الفيوم,Abshaway,Abshaway City,Public,General
Ibshawai Hospital,مستشفى إبشواي,Fayoum,الفيوم,Ibshawai,Ibshawai City,Public,General
Yusuf El Seddik Hospital,مستشفى يوسف الصديق,Fayoum,الفيوم,Yusuf El Seddik,Yusuf El Seddik City,Public,General
Qena University Hospital,مستشفى جامعة قنا,Qena,قنا,Qena,Qena University Campus,University,General
Qena General Hospital,مستشفى قنا العام,Qena,قنا,Qena,Qena City Center,Public,General
Qena Chest Hospital,مستشفى الصدر بقنا,Qena,قنا,Qena,Qena City,Public,Chest
Qena Fever Hospital,مستشفى الحميات بقنا,Qena,قنا,Qena,Qena City,Public,Fever/Infectious
Qena Eye Hospital,مستشفى العيون بقنا,Qena,قنا,Qena,Qena City,Public,Ophthalmology
Qus Hospital,مستشفى قوص,Qena,قنا,Qus,Qus City,Public,General
Naqada Hospital,مستشفى نقادة,Qena,قنا,Naqada,Naqada City,Public,General
Deshna Hospital,مستشفى دشنا,Qena,قنا,Deshna,Deshna City,Public,General
Farshut Hospital,مستشفى فرشوط,Qena,قنا,Farshut,Farshut City,Public,General
Abu Tesht Hospital,مستشفى أبو تشت,Qena,قنا,Abu Tesht,Abu Tesht City,Public,General
El Waqf Hospital,مستشفى الوقف,Qena,قنا,El Waqf,El Waqf City,Public,General
Nage Hammady Hospital,مستشفى نجع حمادي,Qena,قنا,Nage Hammady,Nage Hammady City,Public,General
Luxor University Hospital,مستشفى جامعة الأقصر,Luxor,الأقصر,Luxor,Luxor University Campus,University,General
Luxor General Hospital,مستشفى الأقصر العام,Luxor,الأقصر,Luxor,Luxor City Center,Public,General
Luxor International Hospital,مستشفى الأقصر الدولي,Luxor,الأقصر,Luxor,Luxor City,Private,General
Esna Hospital,مستشفى إسنا,Luxor,الأقصر,Esna,Esna City,Public,General
Armant Hospital,مستشفى أرمنت,Luxor,الأقصر,Armant,Armant City,Public,General
El Qarna Hospital,مستشفى القرنة,Luxor,الأقصر,El Qarna,El Qarna City,Public,General
El Bayadiya Hospital,مستشفى البياضية,Luxor,الأقصر,El Bayadiya,El Bayadiya City,Public,General
Luxor Fever Hospital,مستشفى الحميات بالأقصر,Luxor,الأقصر,Luxor,Luxor City,Public,Fever/Infectious
Aswan University Hospital,مستشفى جامعة أسوان,Aswan,أسوان,Aswan,Aswan University Campus,University,General
Aswan General Hospital,مستشفى أسوان العام,Aswan,أسوان,Aswan,Aswan City Center,Public,General
Aswan Chest Hospital,مستشفى الصدر بأسوان,Aswan,أسوان,Aswan,Aswan City,Public,Chest
Aswan Fever Hospital,مستشفى الحميات بأسوان,Aswan,أسوان,Aswan,Aswan City,Public,Fever/Infectious
Aswan Eye Hospital,مستشفى العيون بأسوان,Aswan,أسوان,Aswan,Aswan City,Public,Ophthalmology
Aswan Mental Health Hospital,مستشفى الصحة النفسية بأسوان,Aswan,أسوان,Aswan,Aswan City,Public,Psychiatry
Daraw Hospital,مستشفى دراو,Aswan,أسوان,Daraw,Daraw City,Public,General
Kom Ombo Hospital,مستشفى كوم أمبو,Aswan,أسوان,Kom Ombo,Kom Ombo City,Public,General
Edfu Hospital,مستشفى إدفو,Aswan,أسوان,Edfu,Edfu City,Public,General
Nasr El Nuba Hospital,مستشفى نصر النوبة,Aswan,أسوان,Nasr El Nuba,Nasr El Nuba City,Public,General
El Shallal Hospital,مستشفى الشلال,Aswan,أسوان,El Shallal,El Shallal City,Public,General
Port Said General Hospital,مستشفى بورسعيد العام,Port Said,بورسعيد,Port Said,Port Said City Center,Public,General
Port Said University Hospital,مستشفى جامعة بورسعيد,Port Said,بورسعيد,Port Said,Port Said University Campus,University,General
Port Said Chest Hospital,مستشفى الصدر ببورسعيد,Port Said,بورسعيد,Port Said,Port Said City,Public,Chest
Port Said Fever Hospital,مستشفى الحميات ببورسعيد,Port Said,بورسعيد,Port Said,Port Said City,Public,Fever/Infectious
Port Said Eye Hospital,مستشفى العيون ببورسعيد,Port Said,بورسعيد,Port Said,Port Said City,Public,Ophthalmology
El Zohour Hospital Port Said,مستشفى الزهور ببورسعيد,Port Said,بورسعيد,Port Said,Port Said City,Public,General
Port Fouad Hospital,مستشفى بورفؤاد,Port Said,بورسعيد,Port Fouad,Port Fouad City,Public,General
El Dawahy Hospital,مستشفى الضواحي,Port Said,بورسعيد,Port Said,Port Said City,Public,General
Port Said Oncology Center,مركز الأورام ببورسعيد,Port Said,بورسعيد,Port Said,Port Said City,Public,Oncology
Suez General Hospital,مستشفى السويس العام,Suez,السويس,Suez,Suez City Center,Public,General
Suez University Hospital,مستشفى جامعة السويس,Suez,السويس,Suez,Suez University Campus,University,General
Suez Chest Hospital,مستشفى الصدر بالسويس,Suez,السويس,Suez,Suez City,Public,Chest
Suez Fever Hospital,مستشفى الحميات بالسويس,Suez,السويس,Suez,Suez City,Public,Fever/Infectious
Suez Eye Hospital,مستشفى العيون بالسويس,Suez,السويس,Suez,Suez City,Public,Ophthalmology
Port Tawfik Hospital,مستشفى بورتوفيق,Suez,السويس,Port Tawfik,Port Tawfik City,Public,General
El Arbaeen Hospital,مستشفى الأربعين,Suez,السويس,El Arbaeen,El Arbaeen City,Public,General
El Ganayn Hospital,مستشفى الجناين,Suez,السويس,El Ganayn,El Ganayn City,Public,General
Suez Petroleum Hospital,مستشفى البترول بالسويس,Suez,السويس,Suez,Suez City,Private,Occupational
Ismailia General Hospital,مستشفى الإسماعيلية العام,Ismailia,الإسماعيلية,Ismailia,Ismailia City Center,Public,General
Suez Canal University Hospital,مستشفى جامعة قناة السويس,Ismailia,الإسماعيلية,Ismailia,Suez Canal University Campus,University,General
Ismailia Chest Hospital,مستشفى الصدر بالإسماعيلية,Ismailia,الإسماعيلية,Ismailia,Ismailia City,Public,Chest
Ismailia Fever Hospital,مستشفى الحميات بالإسماعيلية,Ismailia,الإسماعيلية,Ismailia,Ismailia City,Public,Fever/Infectious
Ismailia Eye Hospital,مستشفى العيون بالإسماعيلية,Ismailia,الإسماعيلية,Ismailia,Ismailia City,Public,Ophthalmology
El Tal El Kebir Hospital,مستشفى التل الكبير,Ismailia,الإسماعيلية,El Tal El Kebir,El Tal El Kebir City,Public,General
El Qantara Hospital,مستشفى القنطرة,Ismailia,الإسماعيلية,El Qantara,El Qantara City,Public,General
Fayed Hospital,مستشفى فايد,Ismailia,الإسماعيلية,Fayed,Fayed City,Public,General
Abu Sultan Hospital,مستشفى أبو سلطان,Ismailia,الإسماعيلية,Abu Sultan,Abu Sultan City,Public,General
El Qassasin Hospital,مستشفى القصاصين,Ismailia,الإسماعيلية,El Qassasin,El Qassasin City,Public,General
Damietta General Hospital,مستشفى دمياط العام,Damietta,دمياط,Damietta,Damietta City Center,Public,General
Damietta University Hospital,مستشفى جامعة دمياط,Damietta,دمياط,Damietta,Damietta University Campus,University,General
Damietta Chest Hospital,مستشفى الصدر بدمياط,Damietta,دمياط,Damietta,Damietta City,Public,Chest
Damietta Fever Hospital,مستشفى الحميات بدمياط,Damietta,دمياط,Damietta,Damietta City,Public,Fever/Infectious
Ras El Bar Hospital,مستشفى رأس البر,Damietta,دمياط,Ras El Bar,Ras El Bar City,Public,General
New Damietta Hospital,مستشفى دمياط الجديدة,Damietta,دمياط,New Damietta,New Damietta City,Public,General
Faraskour Hospital,مستشفى فارسكور,Damietta,دمياط,Faraskour,Faraskour City,Public,General
El Zarqa Hospital,مستشفى الزرقا,Damietta,دمياط,El Zarqa,El Zarqa City,Public,General
Kafr Saad Hospital,مستشفى كفر سعد,Damietta,دمياط,Kafr Saad,Kafr Saad City,Public,General
Damietta Oncology Center,مركز الأورام بدمياط,Damietta,دمياط,Damietta,Damietta City,Public,Oncology
Marsa Matrouh General Hospital,مستشفى مطروح العام,Matrouh,مطروح,Marsa Matrouh,Marsa Matrouh City Center,Public,General
Marsa Matrouh Fever Hospital,مستشفى الحميات بمطروح,Matrouh,مطروح,Marsa Matrouh,Marsa Matrouh City,Public,Fever/Infectious
Marsa Matrouh Chest Hospital,مستشفى الصدر بمطروح,Matrouh,مطروح,Marsa Matrouh,Marsa Matrouh City,Public,Chest
Marsa Matrouh Eye Hospital,مستشفى العيون بمطروح,Matrouh,مطروح,Marsa Matrouh,Marsa Matrouh City,Public,Ophthalmology
El Alamein Hospital,مستشفى العلمين,Matrouh,مطروح,El Alamein,El Alamein City,Public,General
Siwa Hospital,مستشفى سيوة,Matrouh,مطروح,Siwa,Siwa Oasis,Public,General
El Dabaa Hospital,مستشفى الضبعة,Matrouh,مطروح,El Dabaa,El Dabaa City,Public,General
El Negaila Hospital,مستشفى النجيلة,Matrouh,مطروح,El Negaila,El Negaila City,Public,General
Sidi Barrani Hospital,مستشفى سيدي براني,Matrouh,مطروح,Sidi Barrani,Sidi Barrani City,Public,General
El Salloum Hospital,مستشفى السلوم,Matrouh,مطروح,El Salloum,El Salloum City,Public,General
Hurghada General Hospital,مستشفى الغردقة العام,Red Sea,البحر الأحمر,Hurghada,Hurghada City Center,Public,General
Hurghada International Hospital,مستشفى الغردقة الدولي,Red Sea,البحر الأحمر,Hurghada,Hurghada City,Private,General
El Gouna Hospital,مستشفى الجونة,Red Sea,البحر الأحمر,El Gouna,El Gouna Resort,Private,General
Sahl Hasheesh Hospital,مستشفى سهل حشيش,Red Sea,البحر الأحمر,Sahl Hasheesh,Sahl Hasheesh Resort,Private,General
Safaga Hospital,مستشفى سفاجا,Red Sea,البحر الأحمر,Safaga,Safaga City,Public,General
Quseer Hospital,مستشفى القصير,Red Sea,البحر الأحمر,El Quseer,El Quseer City,Public,General
Marsa Alam Hospital,مستشفى مرسى علم,Red Sea,البحر الأحمر,Marsa Alam,Marsa Alam City,Public,General
Ras Gharib Hospital,مستشفى رأس غارب,Red Sea,البحر الأحمر,Ras Gharib,Ras Gharib City,Public,General
Shalateen Hospital,مستشفى الشلاتين,Red Sea,البحر الأحمر,Shalateen,Shalateen City,Public,General
Port Ghalib Hospital,مستشفى بورت غالب,Red Sea,البحر الأحمر,Port Ghalib,Port Ghalib Resort,Private,General
Hurghada Chest Hospital,مستشفى الصدر بالغردقة,Red Sea,البحر الأحمر,Hurghada,Hurghada City,Public,Chest
Hurghada Fever Hospital,مستشفى الحميات بالغردقة,Red Sea,البحر الأحمر,Hurghada,Hurghada City,Public,Fever/Infectious
El Kharga General Hospital,مستشفى الخارجة العام,New Valley,الوادي الجديد,El Kharga,El Kharga City Center,Public,General
El Dakhla Hospital,مستشفى الداخلة,New Valley,الوادي الجديد,El Dakhla,El Dakhla City,Public,General
El Farafra Hospital,مستشفى الفرافرة,New Valley,الوادي الجديد,El Farafra,El Farafra City,Public,General
El Baris Hospital,مستشفى باريس,New Valley,الوادي الجديد,El Baris,El Baris City,Public,General
Mut Hospital,مستشفى موط,New Valley,الوادي الجديد,Mut (Dakhla),Mut City,Public,General
New Valley Fever Hospital,مستشفى الحميات بالوادي الجديد,New Valley,الوادي الجديد,El Kharga,El Kharga City,Public,Fever/Infectious
El Kharga Chest Hospital,مستشفى الصدر بالخارجة,New Valley,الوادي الجديد,El Kharga,El Kharga City,Public,Chest
Al Arish General Hospital,مستشفى العريش العام,North Sinai,شمال سيناء,Al Arish,Al Arish City Center,Public,General
Al Arish Military Hospital,مستشفى العريش العسكري,North Sinai,شمال سيناء,Al Arish,Al Arish City,Military,General
Al Arish Chest Hospital,مستشفى الصدر بالعريش,North Sinai,شمال سيناء,Al Arish,Al Arish City,Public,Chest
Al Arish Fever Hospital,مستشفى الحميات بالعريش,North Sinai,شمال سيناء,Al Arish,Al Arish City,Public,Fever/Infectious
Sheikh Zuweid Hospital,مستشفى الشيخ زويد,North Sinai,شمال سيناء,Sheikh Zuweid,Sheikh Zuweid City,Public,General
Rafah Hospital,مستشفى رفح,North Sinai,شمال سيناء,Rafah,Rafah City,Public,General
Bir El Abd Hospital,مستشفى بئر العبد,North Sinai,شمال سيناء,Bir El Abd,Bir El Abd City,Public,General
Nakhl Hospital,مستشفى نخل,North Sinai,شمال سيناء,Nakhl,Nakhl City,Public,General
Sharm El Sheikh International Hospital,مستشفى شرم الشيخ الدولي,South Sinai,جنوب سيناء,Sharm El Sheikh,Sharm El Sheikh City,Private,General
Sharm El Sheikh General Hospital,مستشفى شرم الشيخ العام,South Sinai,جنوب سيناء,Sharm El Sheikh,Sharm El Sheikh City,Public,General
Dahab Hospital,مستشفى دهب,South Sinai,جنوب سيناء,Dahab,Dahab City,Public,General
Nuweiba Hospital,مستشفى نويبع,South Sinai,جنوب سيناء,Nuweiba,Nuweiba City,Public,General
Taba Hospital,مستشفى طابا,South Sinai,جنوب سيناء,Taba,Taba City,Public,General
Saint Catherine Hospital,مستشفى سانت كاترين,South Sinai,جنوب سيناء,Saint Catherine,Saint Catherine City,Public,General
El Tor Hospital,مستشفى الطور,South Sinai,جنوب سيناء,El Tor,El Tor City,Public,General
Abu Rudies Hospital,مستشفى أبو رديس,South Sinai,جنوب سيناء,Abu Rudies,Abu Rudies City,Public,General
Ras Sidr Hospital,مستشفى رأس سدر,South Sinai,جنوب سيناء,Ras Sidr,Ras Sidr City,Public,General
El Tur Fever Hospital,مستشفى الحميات بالطور,South Sinai,جنوب سيناء,El Tor,El Tor City,Public,Fever/Infectious
Sharm El Sheikh Dental Center,مركز أسنان شرم الشيخ,South Sinai,جنوب سيناء,Sharm El Sheikh,Sharm El Sheikh City,Public,Dentistry
Andalusia Hospital Maadi,?????? ??????? ???????,Cairo,???????,Maadi,"90 Nasr St.,Maadi,Cairo",Private,General
Andalusia Hospital Mohandeseen,?????? ??????? ?????????,Cairo,???????,Mohandeseen,"26th July St.,Mohandeseen,Cairo",Private,General
Andalusia Hospital Shorouk,?????? ??????? ??????,Cairo,???????,El Shorouk City,"El Shorouk City,Cairo",Private,General
Andalusia Hospital Sheikh Zayed,?????? ??????? ????? ????,Cairo,???????,Sheikh Zayed City,Sheikh Zayed City,Private,General
Dar El Fouad Hospital 6 October,?????? ??? ?????? 6 ??????,Cairo,???????,6th October City,6th October City,Private,Cardiology
Dar El Fouad Oncology Center,???? ??? ?????? ???????,Cairo,???????,6th October City,6th October City,Private,Oncology
Dar El Fouad Radiology Center,???? ??? ?????? ??????,Cairo,???????,6th October City,6th October City,Private,Radiology
Cairo Cardiac Center,???? ??????? ?????,Cairo,???????,Nasr City,Nasr City St.,Private,Cardiology
Egyptian Cardiology Center,?????? ?????? ?????,Cairo,???????,El-Mohandeseen,26th July St.,Private,Cardiology
National Research Centre Hospital,?????? ?????? ?????? ??????,Cairo,???????,El-Dokki,"El-Tahrir St.,El-Dokki",Research,General
El Azhar University Hospital (Assiut),?????? ?????? ??????? ??????,Assiut,?????,Assiut,Assiut University Campus,University,General
